length,num_words,num_urls,has_ip_url,num_exclamations,num_dollars,num_percents,special_char_ratio,upper_ratio,digit_ratio,unique_word_ratio,suspicious_words,label
737,150,0,0,1,0,0,0.032520325203252036,0.0,0.052845528455284556,0.7086092715231788,0,1
722,112,2,0,0,0,0,0.08990318118948824,0.0,0.005532503457814661,0.8495575221238938,0,0
492,97,0,0,0,0,0,0.036511156186612576,0.0,0.02434077079107505,0.7040816326530612,0,0
278,30,2,0,0,0,0,0.13978494623655913,0.0,0.1003584229390681,0.9032258064516129,1,0
1514,253,1,0,1,6,0,0.166996699669967,0.0,0.031023102310231022,0.6023622047244095,0,0
78,13,0,0,0,0,0,0.02531645569620253,0.0,0.0,0.9285714285714286,0,1
1424,248,0,0,0,0,0,0.05543859649122807,0.0,0.0007017543859649122,0.6224899598393574,0,0
1736,300,0,0,2,0,0,0.03166378814047208,0.0,0.02072538860103627,0.5049833887043189,3,0
1067,188,0,0,0,0,0,0.040262172284644196,0.0,0.027153558052434457,0.5396825396825397,0,0
3941,468,0,0,5,0,0,0.11440892947742262,0.0,0.03424657534246575,0.650319829424307,7,1
1726,449,0,0,1,0,0,0.09959467284308049,0.0,0.05037637521713955,0.29333333333333333,0,0
370,93,0,0,0,0,0,0.10242587601078167,0.0,0.016172506738544475,0.44680851063829785,0,1
1041,157,0,0,6,1,4,0.07485604606525911,0.0,0.02111324376199616,0.7025316455696202,3,1
940,204,0,0,0,1,0,0.09139213602550478,0.0,0.023379383634431455,0.4634146341463415,0,0
35,7,0,0,0,0,0,0.027777777777777776,0.0,0.0,0.875,0,0
6990,954,8,0,8,2,0,0.1746531254470033,0.0,0.008296381061364612,0.5267015706806283,4,0
713,147,0,0,1,0,2,0.04481792717086835,0.0,0.025210084033613446,0.668918918918919,0,1
738,143,0,0,3,0,0,0.02435723951285521,0.0,0.02165087956698241,0.5972222222222222,1,1
69,17,0,0,0,0,0,0.04285714285714286,0.0,0.08571428571428572,0.9444444444444444,0,0
333,75,0,0,1,0,1,0.05389221556886228,0.0,0.029940119760479042,0.7763157894736842,0,1
913,226,0,0,0,0,0,0.09846827133479212,0.0,0.028446389496717725,0.4669603524229075,0,0
5,1,0,0,0,0,0,0.0,0.0,0.0,0.5,0,1
1025,152,1,0,0,0,0,0.15984405458089668,0.0,0.001949317738791423,0.6993464052287581,0,0
801,135,0,0,0,0,1,0.04239401496259352,0.0,0.006234413965087282,0.6911764705882353,3,1
1991,353,0,0,0,0,0,0.01706827309236948,0.0,0.0025100401606425703,0.4378531073446328,1,0
2108,409,0,0,0,0,0,0.04551920341394026,0.0,0.05879563774300616,0.2975609756097561,4,0
1532,317,0,0,45,0,0,0.07175472928897586,0.0,0.03979125896934116,0.16352201257861634,0,0
3433,651,0,0,0,1,0,0.032615026208503206,0.0,0.030867792661619105,0.44785276073619634,2,1
991,137,3,0,1,0,0,0.20665322580645162,0.0,0.037298387096774195,0.7536231884057971,0,0
1386,187,3,0,3,0,0,0.16870944484498918,0.0,0.043258832011535686,0.8138297872340425,0,0
969,122,2,0,0,0,0,0.2134020618556701,0.0,0.03917525773195876,0.7723577235772358,0,0
486,105,0,0,0,0,0,0.04106776180698152,0.0,0.04106776180698152,0.6698113207547169,0,0
485,53,3,1,3,0,0,0.1111111111111111,0.0,0.08641975308641975,0.8703703703703703,0,1
410,93,0,0,0,1,0,0.06082725060827251,0.0,0.012165450121654502,0.6382978723404256,0,1
178,40,0,0,0,0,0,0.07262569832402235,0.0,0.0,0.7560975609756098,0,0
994,230,0,0,5,0,0,0.06834170854271357,0.0,0.023115577889447236,0.5281385281385281,0,1
1571,297,0,0,0,0,0,0.02608142493638677,0.0,0.0019083969465648854,0.48322147651006714,1,0
229,44,0,0,1,0,0,0.034782608695652174,0.0,0.017391304347826087,0.8,0,1
