length,num_words,num_urls,suspicious_words,special_char_ratio,label
5,1,0,0,0.0,1
2037,359,0,0,0.019627085377821395,0
188,18,1,0,0.14285714285714285,0
527,93,0,0,0.08333333333333333,0
90,12,0,0,0.054945054945054944,1
3255,621,0,0,0.03900491400491401,0
522,82,0,0,0.11854684512428298,0
3033,544,0,0,0.051417270929466054,1
1471,319,0,0,0.042798913043478264,0
930,133,0,0,0.06015037593984962,1
47521,9459,0,31,0.036425234628172216,0
767,122,2,0,0.15625,0
1800,302,0,0,0.0699611327040533,0
628,160,0,0,0.06836248012718601,0
1070,143,3,0,0.18207282913165265,0
599,60,4,0,0.135,0
2804,606,0,0,0.04563279857397504,0
4453,874,0,0,0.07049842837898518,0
481,78,1,0,0.05394190871369295,1
450,76,0,0,0.07982261640798226,0
499,139,0,0,0.114,1
1134,209,0,0,0.02555066079295154,0
1565,235,2,0,0.14942528735632185,0
5,1,0,0,0.0,0
5473,989,0,0,0.05608330288637194,0
271,41,1,0,0.11397058823529412,0
9572,1681,0,2,0.04606706361642118,0
84,22,0,0,0.08235294117647059,0
43807,8476,0,17,0.028944485025566107,0
2197,342,2,0,0.06505914467697907,0
913,124,3,0,0.09518599562363239,0
5180,1040,0,1,0.02798687512063308,0
385,101,0,0,0.09067357512953368,0
4093,846,0,0,0.03932584269662921,0
693,96,3,0,0.11671469740634005,0
10227,2543,0,2,0.13844348846304264,0
360,41,0,0,0.002770083102493075,1
3875,632,0,0,0.02889576883384933,0
757,168,0,0,0.06596306068601583,1
600,189,0,0,0.029950083194675542,1
67,16,0,0,0.058823529411764705,0
235,46,0,0,0.0211864406779661,1
833,177,0,0,0.04316546762589928,0
88,22,0,0,0.07865168539325842,0
942,163,0,0,0.1792152704135737,1
1100,159,1,0,0.06448683015440508,1
150,15,1,0,0.16556291390728478,0
1300,144,2,0,0.3051498847040738,0
1733,376,0,6,0.05651672433679354,0
839,109,1,0,0.13452380952380952,1
343,52,1,0,0.07848837209302326,0
1803,367,0,0,0.04656319290465632,0
1200,218,0,0,0.03330557868442964,0
2796,420,0,1,0.13657490168037184,1
972,170,0,0,0.045220966084275435,1
3740,377,2,0,0.32130446404704627,0
211,47,0,0,0.02358490566037736,0
820,198,0,0,0.05602923264311815,1
1142,259,0,0,0.0594925634295713,0
59,10,0,0,0.016666666666666666,1
2211,412,0,1,0.027576853526220614,0
1404,246,0,0,0.06832740213523132,0
5976,1286,0,0,0.049188556131838715,0
1289,129,1,0,0.05813953488372093,1
479,99,0,0,0.06458333333333334,0
150,28,0,0,0.026490066225165563,0
600,142,0,0,0.07154742096505824,1
99,24,0,0,0.06,1
832,172,0,0,0.031212484993997598,0
518,149,0,1,0.09441233140655106,0
532,117,0,0,0.028142589118198873,0
11760,1587,0,0,0.08825780120738032,1
5,1,0,0,0.0,0
5,1,0,0,0.0,1
435,95,0,2,0.07110091743119266,1
786,133,2,0,0.09911054637865312,0
2002,388,0,0,0.03195207189216176,0
14171,2537,0,0,0.030129833474456674,0
940,202,0,0,0.04994686503719448,1
793,181,0,0,0.041561712846347604,0
1822,250,3,0,0.12397147558968732,0
443,66,2,0,0.0945945945945946,0
5,1,0,0,0.0,1
534,85,1,0,0.10654205607476636,0
4169,792,0,1,0.03381294964028777,1
342,81,0,0,0.07871720116618076,1
775,147,0,0,0.03479381443298969,0
342,41,0,0,0.0058309037900874635,1
929,207,0,0,0.06236559139784946,1
1623,238,1,0,0.1330049261083744,0
1162,218,0,0,0.024935511607910577,0
341,67,0,0,0.023391812865497075,0
636,145,0,2,0.0706436420722135,0
2028,329,2,0,0.04879250862493839,0
1799,321,0,0,0.023333333333333334,0
528,69,3,0,0.18525519848771266,0
2845,552,0,0,0.06886858749121574,0
153,32,0,0,0.01948051948051948,0
559,62,2,0,0.15892857142857142,0
9024,305,0,0,0.30781163434903047,1
2493,477,0,0,0.03608660785886127,1
459,86,0,0,0.021739130434782608,1
519,71,1,0,0.051923076923076926,1
419,88,0,0,0.05714285714285714,1
934,164,0,0,0.053475935828877004,1
1101,167,1,0,0.10617059891107078,0
94,25,0,0,0.07368421052631578,1
2532,375,1,0,0.08093170153967627,0
2763,568,0,0,0.04667149059334298,1
7459,1537,0,4,0.03485254691689008,1
151,34,0,0,0.06578947368421052,0
6374,1173,0,5,0.021019607843137254,0
269,60,0,0,0.040740740740740744,1
2207,474,0,0,0.04121376811594203,0
2513,644,0,0,0.11217183770883055,0
782,197,0,0,0.07407407407407407,1
